filename, language, Rust, Ignore, Markdown, JSON, TypeScript, HTML, JavaScript, comment, blank, total
README.md, Markdown, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
data-model\src\entities\dimension.rs, Rust, 186, 0, 0, 0, 0, 0, 0, 1, 22, 209
data-model\src\entities\door.rs, Rust, 240, 0, 0, 0, 0, 0, 0, 0, 23, 263
data-model\src\entities\mod.rs, Rust, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
data-model\src\entities\wall.rs, Rust, 348, 0, 0, 0, 0, 0, 0, 0, 25, 373
data-model\src\geometry_kernel\mod.rs, Rust, 327, 0, 0, 0, 0, 0, 0, 4, 48, 379
data-model\src\geometry_kernel\primitives.rs, Rust, 229, 0, 0, 0, 0, 0, 0, 0, 9, 238
data-model\src\lib.rs, Rust, 119, 0, 0, 0, 0, 0, 0, 1, 13, 133
operations\src\app_state.rs, Rust, 238, 0, 0, 0, 0, 0, 0, 0, 29, 267
operations\src\entity_ops\mod.rs, Rust, 75, 0, 0, 0, 0, 0, 0, 1, 6, 82
operations\src\entity_ops\snapping.rs, Rust, 92, 0, 0, 0, 0, 0, 0, 0, 6, 98
operations\src\entity_ops\tests.rs, Rust, 423, 0, 0, 0, 0, 0, 0, 2, 14, 439
operations\src\lib.rs, Rust, 177, 0, 0, 0, 0, 0, 0, 1, 21, 199
operations\src\operation_manager\data_manager\database.rs, Rust, 274, 0, 0, 0, 0, 0, 0, 0, 23, 297
operations\src\operation_manager\data_manager\mod.rs, Rust, 96, 0, 0, 0, 0, 0, 0, 0, 24, 120
operations\src\operation_manager\data_manager\tests.rs, Rust, 182, 0, 0, 0, 0, 0, 0, 2, 11, 195
operations\src\operation_manager\data_manager\undo.rs, Rust, 244, 0, 0, 0, 0, 0, 0, 0, 23, 267
operations\src\operation_manager\dep_manager\mod.rs, Rust, 158, 0, 0, 0, 0, 0, 0, 3, 18, 179
operations\src\operation_manager\mod.rs, Rust, 257, 0, 0, 0, 0, 0, 0, 0, 31, 288
operations\src\operation_manager\tests.rs, Rust, 233, 0, 0, 0, 0, 0, 0, 0, 7, 240
operations\src\tests.rs, Rust, 168, 0, 0, 0, 0, 0, 0, 0, 25, 193
server\src\main.rs, Rust, 79, 0, 0, 0, 0, 0, 0, 4, 12, 95
server\src\ws_actor.rs, Rust, 240, 0, 0, 0, 0, 0, 0, 17, 15, 272
ui\browser\README.md, Markdown, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
ui\browser\index.ejs, HTML, 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
ui\browser\index.ts, TypeScript, 0, 0, 0, 0, 21, 0, 0, 1, 2, 24
ui\browser\package-lock.json, JSON, 0, 0, 0, 6795, 0, 0, 0, 0, 1, 6796
ui\browser\package.json, JSON, 0, 0, 0, 34, 0, 0, 0, 0, 0, 34
ui\browser\tsconfig.json, JSON, 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
ui\browser\webpack.config.js, JavaScript, 0, 0, 0, 0, 0, 0, 61, 4, 2, 67
ui\data-model-wasm\.gitignore, Ignore, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
ui\data-model-wasm\README.md, Markdown, 0, 0, 31, 0, 0, 0, 0, 0, 18, 49
ui\data-model-wasm\js\index.js, JavaScript, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
ui\data-model-wasm\package-lock.json, JSON, 0, 0, 0, 105, 0, 0, 0, 0, 1, 106
ui\data-model-wasm\package.json, JSON, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
ui\data-model-wasm\src\lib.rs, Rust, 186, 0, 0, 0, 0, 0, 0, 1, 53, 240
ui\electron\index_electron.html, HTML, 0, 0, 0, 0, 0, 46, 0, 0, 4, 50
ui\electron\index_electron.ts, TypeScript, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
ui\electron\main.ts, TypeScript, 0, 0, 0, 0, 90, 0, 0, 8, 9, 107
ui\electron\native\build.rs, Rust, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
ui\electron\native\index.d.ts, TypeScript, 0, 0, 0, 0, 59, 0, 0, 142, 2, 203
ui\electron\native\src\dimension.rs, Rust, 115, 0, 0, 0, 0, 0, 0, 0, 12, 127
ui\electron\native\src\door.rs, Rust, 145, 0, 0, 0, 0, 0, 0, 0, 15, 160
ui\electron\native\src\lib.rs, Rust, 411, 0, 0, 0, 0, 0, 0, 0, 39, 450
ui\electron\native\src\math.rs, Rust, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
ui\electron\native\src\wall.rs, Rust, 135, 0, 0, 0, 0, 0, 0, 0, 14, 149
ui\electron\package-lock.json, JSON, 0, 0, 0, 4866, 0, 0, 0, 0, 1, 4867
ui\electron\package.json, JSON, 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
ui\electron\tsconfig.json, JSON, 0, 0, 0, 25, 0, 0, 0, 0, 0, 25
